date,description,amount,label,source
2023-08-17,Card Rent Pmt Rent,985.04,housing,simulated_bank_transactions_uk
2023-03-31,pos/direct/debit/vodafone,226.28,utilities,simulated_bank_transactions_uk
2023-08-27,Subscription/Gym/Group 357778,8.28,subscriptions,simulated_bank_transactions_uk
2024-10-27,mastercard-direct-debit-amazon-prime,11.96,subscriptions,simulated_bank_transactions_uk
2023-01-07,Mortgage Payment Rent,1424.97,housing,simulated_bank_transactions_uk
2023-12-15,Card Payment Ebay Online Purchase,105.63,other,simulated_bank_transactions_uk
2023-12-11,DIRECT DEBIT FUEL ESSO TRAIN TICKET 180451,34.65,transportation,simulated_bank_transactions_uk
2024-01-03,Pos Lidl Milk 718870,58.85,groceries,simulated_bank_transactions_uk
2023-02-14,card-payment-amazon-misc-expense 524481,91.75,other,simulated_bank_transactions_uk
2024-01-23,so rent pmt mortgage 612878,1962.36,housing,simulated_bank_transactions_uk
2024-10-05,Visa/Pos/Lidl/Chicken,46.1,groceries,simulated_bank_transactions_uk
2023-02-16,direct debit spotify 121116,29.66,subscriptions,simulated_bank_transactions_uk
2023-08-27,BACS-BACS-LETTING-AGENT-RENT,1979.31,housing,simulated_bank_transactions_uk
2024-04-09,online-purchase-ebay-online-purchase,58.88,other,simulated_bank_transactions_uk
2024-11-17,BACS RENT RENT,1097.38,housing,simulated_bank_transactions_uk
2023-06-25,Transport*Uber*Uber*Ride,92.54,transportation,simulated_bank_transactions_uk
2023-10-04,SUBSCRIPTION DISNEY+ 223086,21.18,subscriptions,simulated_bank_transactions_uk
2023-02-27,Bacs Landlord Rent,1779.99,housing,simulated_bank_transactions_uk
2023-03-09,direct/debit/scottishpower 743225,118.26,utilities,simulated_bank_transactions_uk
2024-10-20,DIRECT*DEBIT*SCOTTISHPOWER 139739,139.83,utilities,simulated_bank_transactions_uk
2023-09-10,Fps Food Delivery Uber Eats Restaurant 372507,41.94,dining,simulated_bank_transactions_uk
2024-08-20,Bacs*Mortgage*Rent,1199.81,housing,simulated_bank_transactions_uk
2023-05-22,FPS*CARD*PAYMENT*NANDO'S*FAST*FOO,35.24,dining,simulated_bank_transactions_uk
2023-04-23,Subscription Spotify 510231,6.65,subscriptions,simulated_bank_transactions_uk
2023-03-07,Direct*Debit*Vodafone 731429,122.88,utilities,simulated_bank_transactions_uk
2024-04-24,CONTACTLESS FOOD DELIVERY JUST EAT FAS,90.6,dining,simulated_bank_transactions_uk
2023-01-12,SO CARD PAYMENT PUREGYM 247629,35.13,subscriptions,simulated_bank_transactions_uk
2023-10-01,bacs landlord rent 981110,1351.76,housing,simulated_bank_transactions_uk
2024-03-21,Card-Pmt-Superdrug-Misc-Expense,19.4,other,simulated_bank_transactions_uk
2023-09-27,pos-bill-payment-british-gas,188.86,utilities,simulated_bank_transactions_uk
2024-10-02,direct debit google *services 582542,8.72,subscriptions,simulated_bank_transactions_uk
2023-06-15,Mastercard-Transport-Trainline-Train-Ticket 753470,25.47,transportation,simulated_bank_transactions_uk
2024-05-15,Card*Pmt*Apple.com/,25.96,subscriptions,simulated_bank_transactions_uk
2023-11-11,fps contactless asda milk 79898,139.58,groceries,simulated_bank_transactions_uk
2023-03-22,utility/bill/e.on 383364,154.82,utilities,simulated_bank_transactions_uk
2023-03-12,Card Payment Tesco Vegetables 918202,74.44,groceries,simulated_bank_transactions_uk
2024-05-01,Card Payment Argos Online Purchase 773343,21.87,other,simulated_bank_transactions_uk
2024-03-09,Card Payment Gym Group,35.54,subscriptions,simulated_bank_transactions_uk
2024-11-18,Bill/Pmt/O2 293136,117.78,utilities,simulated_bank_transactions_uk
2023-05-04,Mortgage Pmt Letting Agent 274903,1324.61,housing,simulated_bank_transactions_uk
2024-07-21,direct debit thames water 537265,34.63,utilities,simulated_bank_transactions_uk
2023-03-02,BACS DIRECT DEBIT BT 755377,185.73,utilities,simulated_bank_transactions_uk
2023-03-14,Direct Debit Sky 696612,219.12,utilities,simulated_bank_transactions_uk
2024-07-06,card pmt apple.com/bill 202158,21.99,subscriptions,simulated_bank_transactions_uk
2024-02-21,utility bill vodafone 301850,134.05,utilities,simulated_bank_transactions_uk
2024-03-09,utility*bill*bt,124.83,utilities,simulated_bank_transactions_uk
2023-02-25,Food Delivery Mcdonalds Fast Food 999243,129.98,dining,simulated_bank_transactions_uk
2023-04-22,VISA RENT PAYMENT LETTING,1619.5,housing,simulated_bank_transactions_uk
2024-03-08,utility bill sk,128.69,utilities,simulated_bank_transactions_uk
2023-03-19,so bill payment octopus energy,222.39,utilities,simulated_bank_transactions_uk
2024-10-29,Restaurant Mcdonalds Food Delivery,17.39,dining,simulated_bank_transactions_uk
2023-08-31,Subscription Puregym 816451,37.42,subscriptions,simulated_bank_transactions_uk
2024-02-15,Direct-Debit-Sky 567390,77.02,utilities,simulated_bank_transactions_uk
2024-02-04,Pos*Asda*Bread 489557,58.71,groceries,simulated_bank_transactions_uk
2024-12-14,card pmt uber fuel,44.93,transportation,simulated_bank_transactions_uk
2023-03-01,MORTGAGE PAYMENT MORTGAGE,1015.39,housing,simulated_bank_transactions_uk
2023-02-28,direct debit amazon prime 837912,31.18,subscriptions,simulated_bank_transactions_uk
2024-06-27,card payment asda chicken,73.09,groceries,simulated_bank_transactions_uk
2023-07-10,contactless-direct-debit-vodafone 923369,47.62,utilities,simulated_bank_transactions_uk
2023-08-29,Card-Payment-Morrisons-Chicken 72951,12.99,groceries,simulated_bank_transactions_uk
2024-08-06,Visa*Card*Payment*Pret*Restaurant 592364,141.41,dining,simulated_bank_transactions_uk
2024-08-20,UTILITY BILL O2,122.23,utilities,simulated_bank_transactions_uk
2024-11-16,Direct Debit Disney+,14.13,subscriptions,simulated_bank_transactions_uk
2024-11-18,Contactless Rent Payment Landlord 594423,1154.1,housing,simulated_bank_transactions_uk
2023-03-16,BACS LETTING AGENT RENT 441463,1900.63,housing,simulated_bank_transactions_uk
2024-07-30,Card Pmt Sainsburys Rice 770440,94.31,groceries,simulated_bank_transactions_uk
2024-06-02,Contactless Aldi Milk 258420,82.03,groceries,simulated_bank_transactions_uk
2023-03-12,fps card pmt trainline train ticket 519317,140.19,transportation,simulated_bank_transactions_uk
2024-07-10,BILL-PAYMENT-E.ON 542722,126.4,utilities,simulated_bank_transactions_uk
2024-10-31,Rent Pmt Rent 515663,1982.13,housing,simulated_bank_transactions_uk
2024-11-10,pos subscription netflix 557711,24.41,subscriptions,simulated_bank_transactions_uk
2023-04-20,CARD/PMT/WAITROSE/BREAD 779967,41.88,groceries,simulated_bank_transactions_uk
2023-12-18,RENT PAYMENT LANDLORD,1446.76,housing,simulated_bank_transactions_uk
2023-02-22,card direct debit octopus energy 48726,85.25,utilities,simulated_bank_transactions_uk
2023-10-11,Contactless Aldi Vegetables 493198,65.27,groceries,simulated_bank_transactions_uk
2023-05-14,Pos Waitrose Milk 78680,52.03,groceries,simulated_bank_transactions_uk
2024-12-23,Rent/Payment/Rent 802577,1218.57,housing,simulated_bank_transactions_uk
2023-03-19,food delivery uber eats food delivery 618113,4.42,dining,simulated_bank_transactions_uk
